LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
metavolcanic,34,11,7,37343.0046574763,29804.1869935968
metavolcanic,25,21,3,27143.6543390301,15901.6075501675
metavolcanic,27,23,4,30596.7118153318,19121.3345120563
metavolcanic,31,15,3,19251.6040065598,11814.9593361405
metavolcanic,38,25,6,25624.3648896177,17094.3711399019
metavolcanic,32,13,8,48179.1444018332,38548.2260484514
metavolcanic,27,14,7,59216.0677421709,46118.0681031404
metavolcanic,27,15,2,16918.8764977631,9202.93721697844
metavolcanic,23,16,3,34973.1407378147,21838.1447827486
metavolcanic,27,19,9,76134.944239934,59858.6959716198
metavolcanic,33,24,4,22651.7189474184,13703.3090795074
metavolcanic,37,12,10,45046.9721215095,37605.4036658401
metavolcanic,27,19,11,93053.8207376971,75840.7669509376
metavolcanic,29,17,9,65995.6888833673,52350.6882603853
metavolcanic,21,14,6,83903.8161011518,64447.1504835217
metavolcanic,26,16,5,45613.3911496646,32400.687413981
metavolcanic,29,10,5,36664.2716018707,27986.7649631558
metavolcanic,33,8,6,33977.5784211276,27689.4023230108
metavolcanic,33,18,6,33977.5784211276,24277.8942335587
metavolcanic,24,20,10,98961.2397777139,79570.0143974237
metavolcanic,33,13,2,11325.8594737092,6270.42713370221
metavolcanic,26,14,3,27368.0346897988,17321.5598585263
metavolcanic,29,21,4,29331.4172814966,18476.9804603547
metavolcanic,24,19,3,31250.9178245412,18771.3411607144
metavolcanic,31,17,7,44920.4093486395,33719.3008171285
metavolcanic,33,24,5,28314.648684273,18330.7386443089
metavolcanic,26,15,3,27368.0346897988,17075.4207261856
metavolcanic,25,18,10,98670.8877349545,80002.4015677592
metavolcanic,26,17,4,36490.7129197317,24193.3492800353
metavolcanic,25,19,6,59202.5326409727,42960.8991894226
metavolcanic,26,21,8,69599.1136898208,52953.2674337514
metavolcanic,39,23,7,28381.6656042358,19954.8493338644
metavolcanic,37,13,4,18018.7888486038,12260.81196837
metavolcanic,26,18,3,27368.0346897988,16459.2370280216
metavolcanic,30,22,5,34260.7249079703,22754.814706584
metavolcanic,28,9,3,23597.9482784489,16326.4257870709
metavolcanic,22,9,3,38224.7757237685,26790.1486413191
metavolcanic,28,10,4,31463.9310379319,22893.4939293784
metavolcanic,19,11,5,85414.5496320589,65723.4108764611
metavolcanic,31,10,6,38503.2080131196,30397.6089955461
metavolcanic,22,14,7,89191.1433554599,70359.0514282266
metavolcanic,21,14,4,55935.8774007678,39139.7419663643
metavolcanic,28,15,4,31463.9310379319,21191.3685789474
metavolcanic,24,12,4,42825.9061349629,30409.2193321907
metavolcanic,25,14,5,49335.4438674772,35916.253420733
metavolcanic,20,12,8,123338.609668693,101931.12296028
metavolcanic,24,17,3,32119.4296012222,19716.4772622148
metavolcanic,18,14,5,94248.799788299,70484.8602917419
metavolcanic,25,18,6,59202.5326409727,43309.5890981085
metavolcanic,22,15,7,89191.1433554599,69785.0712766132
metavolcanic,20,13,5,77086.6310429332,57749.4737541864
metavolcanic,17,10,3,64016.5794128165,44845.356649602
metavolcanic,30,21,6,41112.8698895644,28897.0471080808
metavolcanic,24,14,4,42825.9061349629,29595.2679302396
metavolcanic,28,11,6,47195.8965568979,36868.488102487
metavolcanic,26,16,6,54736.0693795975,40592.8263251942
metavolcanic,22,12,5,63707.9595396142,47927.2599593114
metavolcanic,19,17,5,73531.5713518617,53336.5990945436
metavolcanic,24,13,3,32119.4296012222,20788.7605929814
metavolcanic,20,11,5,77086.6310429332,59112.7857070323
metavolcanic,18,11,4,76134.944239934,56042.1489291513
metavolcanic,23,8,4,46630.8543170862,35604.8855752062
metavolcanic,20,9,1,15417.3262085866,7671.93338275864
metavolcanic,15,12,3,79168.9918221711,54475.2198613257
metavolcanic,22,14,2,25483.1838158457,14416.9885139486
metavolcanic,13,10,5,182453.564598658,145869.271315986
metavolcanic,26,18,3,27368.0346897988,16459.2370280216
metavolcanic,19,13,3,51248.7297792354,33932.3225653628
metavolcanic,18,9,8,152269.888479868,130151.775633902
metavolcanic,17,10,5,106694.299021361,83758.5480525644
metavolcanic,23,9,6,69946.2814756294,56677.602554911
metavolcanic,15,10,5,137042.899631881,108488.877568896
metavolcanic,27,15,2,16918.8764977631,9202.93721697844
metavolcanic,15,12,4,105558.655762895,77944.6424184887
metavolcanic,17,10,6,128033.158825633,103887.132192429
metavolcanic,13,6,3,109472.138759195,84699.8292946416
metavolcanic,15,11,5,137042.899631881,107225.656847299
metavolcanic,16,12,4,96358.2888036665,70717.6240267118
metavolcanic,18,7,3,57101.2081799505,42384.5246164355
metavolcanic,14,8,4,125855.724151728,98615.4880223182
metavolcanic,10,9,4,211117.31152579,167111.720507203
metavolcanic,14,9,4,125855.724151728,97107.9081534197
metavolcanic,15,7,4,109634.319705505,87075.942882273
metavolcanic,17,11,4,85355.4392170886,63116.392512721
metavolcanic,18,11,3,57101.2081799505,39148.3425108672
metavolcanic,11,10,3,129549.259345371,94599.9908097651
metavolcanic,11,10,3,129549.259345371,94599.9908097651
metavolcanic,12,10,2,79168.9918221711,51458.6345183985
metavolcanic,12,9,3,128477.718404889,94290.1653689491
metavolcanic,13,8,4,145962.851678927,114903.886683956
metavolcanic,133,90,22,7669.87792614406,5156.48614252415
