LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
obsidian,40,33,5,16207.1233434276,9213.48907442071
obsidian,50,36,12,26971.6591192225,19066.7006649693
obsidian,85,53,17,13221.4015290307,9128.51028086005
obsidian,67,36,12,15020.9730002353,10339.4438817923
obsidian,57,21,5,8647.42328383815,5252.4690316394
obsidian,32,18,2,10974.7961910899,5305.25234596008
obsidian,48,21,8,19510.7487841598,13700.1440146035
obsidian,50,30,9,20228.7443394169,13673.1464501755
obsidian,60,27,5,7804.29951366393,4431.73994961605
obsidian,117,102,19,6812.04379844416,4177.1266762704
obsidian,102,78,21,11293.6515605785,7593.77141472794
obsidian,46,26,9,23899.7452025247,16689.4959393193
obsidian,42,28,17,54152.2823397089,43281.9530662157
obsidian,59,19,11,17756.4068222403,13529.9414880985
obsidian,125,66,21,7552.06455338231,5127.57559596537
obsidian,125,83,19,6832.82031020305,4318.71276609061
obsidian,34,32,4,15730.4432450914,8544.66470263064
obsidian,41,23,5,16713.550415937,10210.9383909642
obsidian,39,26,2,7388.68593009603,3161.35212715794
obsidian,42,12,10,31854.2837292405,25910.0512909903
obsidian,31,28,7,34505.4884085877,23179.6437473445
obsidian,48,17,7,17071.9051861399,12079.4870460038
obsidian,120,69,15,5853.22463524795,3586.45104402736
obsidian,34,13,3,14582.4281570191,8792.90133793755
obsidian,100,42,17,9552.46260472465,6792.8119052524
obsidian,110,67,15,6965.82105351822,4331.42022082577
obsidian,99,64,25,14332.9651306959,10427.6757272705
obsidian,28,22,4,27783.6400173044,16667.8021773692
obsidian,101,54,16,8813.40362684134,5873.6605235869
obsidian,65,43,9,11969.6712067556,7355.69878521467
obsidian,28,21,4,28668.8553563165,17358.3118101262
obsidian,72,66,9,8103.56167171377,4516.22584294699
obsidian,53,34,6,12002.3402986928,6960.92472180189
obsidian,44,32,13,37731.530706557,27974.8845678134
obsidian,92,75,13,8061.28221951353,4786.14530120199
obsidian,89,69,26,18115.240942727,13280.014701873
obsidian,104,47,15,7792.75469189816,5232.76595626242
obsidian,99,69,15,8599.77907841755,5379.67107433383
obsidian,56,34,23,41211.4795747049,33372.0561728709
obsidian,28,17,4,28668.8553563165,18097.8511742975
obsidian,25,17,3,26971.6591192225,15741.913380427
obsidian,29,14,3,20044.3364441309,12015.9535567848
obsidian,31,21,3,17541.4016123976,9525.68715753476
obsidian,61,42,12,18121.2436974083,12246.4706045132
obsidian,21,9,1,12741.7134916962,5977.70336414975
obsidian,21,14,2,25483.4269833924,13814.5079815132
obsidian,30,14,4,24973.7584437246,16294.4062150934
obsidian,44,33,6,17414.5526337955,10388.5928710478
obsidian,41,23,9,30084.3907486866,21639.0104527998
obsidian,27,23,3,20669.9544090091,11213.2363376927
obsidian,33,21,4,20639.4697882021,12255.2713225284
obsidian,27,18,5,38539.7506847602,25774.8623407768
obsidian,31,14,5,29235.669353996,20231.2886821111
obsidian,27,28,2,11319.2607477907,5038.76903963006
obsidian,41,23,7,23398.9705823118,15777.616352051
obsidian,30,26,4,21941.9516034096,12631.7267661357
obsidian,27,14,4,30831.8005478081,20293.0457298819
obsidian,28,17,4,28668.8553563165,18097.8511742975
obsidian,12,11,4,129656.98674742,95783.8190471556
obsidian,32,24,5,27436.9904777248,17082.636979413
obsidian,12,3,1,39021.4975683197,25699.7235764673
obsidian,27,19,9,69371.5512325683,53018.8741409135
obsidian,22,19,3,30708.2337033364,17831.8816487897
obsidian,16,8,3,65848.7771465394,46475.7574949151
obsidian,32,20,4,21949.5923821798,13220.0496787496
obsidian,20,17,4,50337.4183842926,32982.102414278
obsidian,54,29,19,36612.7631505222,29266.5089952301
obsidian,80,61,15,13151.6820573715,8614.7080096398
obsidian,81,46,12,10277.2668492694,6641.99811334387
obsidian,88,77,20,12628.9272805929,8533.60450679006
